YAM,Sault Sainte Marie
YAV,Winnipeg
YAW,Halifax
YAY,St. Anthony
YAZ,Tofino
YBB,Pelly Bay
YBC,Baie Comeau
YBG,Bagotville
YBK,Baker Lake
YBL,Campbell River
YBR,Brandon
YCB,Cambridge Bay
YCD,Nanaimo
YCG,Castlegar
YCH,Chatham
YCL,Charlo
YCO,Coppermine
YCT,Coronation
YCW,Chilliwack
YCY,Clyde River
YZS,Coral Harbour
YDA,Dawson
YDB,Burwash
YDC,Princeton
YDF,Deer Lake
YDL,Dease Lake
YDN,Dauphin
YDQ,Dawson Creek
YEG,Edmonton
YEK,Eskimo Point
YEN,Estevan
YET,Edson
YEU,Eureka
YEV,Inuvik
YFB,Iqaluit
YFC,Fredericton
YFO,Flin Flon
YFR,Fort Resolution
YFS,Fort Simpson
YGK,Kingston
YGL,La Grande Riviere
YGP,Gaspe
YGQ,Geraldton
YGR,Iles De La Madeleine
YHB,Hudson Bay
YHD,Dryden
YHI,Holman Island
YHK,Gjoa Haven
YHM,Hamilton
YHU,Montreal
YHY,Hay River
YHZ,Halifax
YIB,Atikokan
YIO,Pond Inlet
YJN,St. Jean
YJT,Stephenville
YKA,Kamloops
YKF,Waterloo
YKL,Schefferville
YKY,Kindersley
YKZ,Toronto
YLD,Chapleau
YLJ,Meadow Lake
YLL,Lloydminster
YLT,Alert
YLW,Kelowna
YMA,Mayo
YMJ,Moose Jaw
YMM,Fort Mcmurray
YMO,Moosonee
YMW,Maniwaki
YMX,Montreal
YNA,Natashquan
YND,Gatineau
YNM,Matagami
YOC,Old Crow
YOD,Cold Lake
YOJ,High Level
YOW,Ottawa
YPA,Prince Albert
YPE,Peace River
YPG,Portage-la-prairie
YPL,Pickle Lake
YPN,Port Menier
YPQ,Peterborough
YPR,Prince Pupert
YPY,Fort Chipewyan
YQA,Muskoka
YQB,Quebec
YQF,Red Deer Industrial
YQG,Windsor
YQH,Watson Lake
YQK,Kenora
YQL,Lethbridge
YQM,Moncton
YQQ,Comox
YQR,Regina
YQT,Thunder Bay
YQU,Grande Prairie
YQV,Yorkton
YQW,North Battleford
YQX,Gander
YQY,Sydney
YQZ,Quesnel
YRB,Resolute
YRI,Riviere Du Loup
YRJ,Roberval
YRM,Rocky Mountain House
YRT,Rankin Inlet
YSB,Sudbury
YSC,Sherbrooke
YSJ,St. John
YSM,Fort Smith
YSR,Nanisivik
YSU,Summerside
YSY,Sachs Harbour
YTE,Cape Dorset
YTH,Thompson
YTR,Trenton
YTS,Timmins
YTZ,Toronto
YUB,Tuktoyaktuk
YUL,Montreal
YUT,Repulse Bay
YUX,Hall Beach
YUY,Rouyn
YVC,La Ronge
YVG,Vermillion
YVM,Broughton Island
YVO,Val D'or
YVP,Quujjuaq
YVQ,Norman Wells
YVR,Vancouver
YVT,Buffalo Narrows
YVV,Wiarton
YWA,Petawawa
YWG,Winnipeg
YWK,Wabush
YWL,Williams Lake
YWY,Wrigley
YXC,Cranbrook
YXD,Edmonton
YXE,Saskatoon
YXH,Medicine Hat
YXJ,Fort Saint John
YXL,Sioux Lookout
YXP,Pangnirtung
YXR,Earlton
YXS,Prince George
YXT,Terrace
YXU,London
YXX,Abbotsford
YXY,Whitehorse
YYB,North Bay
YYC,Calgary
YYD,Smithers
YYE,Fort Nelson
YYF,Penticton
YYG,Charlottetown
YYH,Spence Bay
YYJ,Victoria
YYL,Lynn Lake
YYN,Swift Current
YYQ,Churchill
YYR,Goose Bay
YYT,St. John's
YYU,Kapuskasing
YYW,Armstrong
YYY,Mont Joli
YYZ,Toronto
YZD,Toronto
YZE,Gore Bay
YZF,Yellowknife
YZH,Slave Lake
YZP,Sandspit
YZR,Sarnia
YZT,Port Hardy
YZU,Whitecourt
YZV,Sept-iles
YZW,Teslin
YZX,Greenwood
ZFA,Faro
ZFM,Fort Mcpherson
4I7,Greencastle
C91,Dowagiac
CDI,Cambridge
SUE,Sturgeon Bay
0P2,Stewartstown
PDT,Pendleton
TYE,Tyonek
RIW,Riverton WY
MTJ,Montrose CO
1CS,Bolingbrook
ENW,Kenosha
VGT,Las Vegas
C02,Lake Geneva
DKB,De Kalb
LAF,Lafayette
OXD,Oxford
MIE,Muncie
1RL,Point Roberts
MQB,Macomb
AUW,Wausau
C47,Portage
IWD,Ironwood
MCD,Mackinac Island
GRM,Grand Marais
NPZ,Valparaiso
MXY,McCarthy
SWD,Seward
MGC,Michigan City
AET,Allakaket
YAK,Yakutat
MQT,Marquette
IMT,Iron Mountain
ESC,Escanaba
MWA,Marion
BTI,Barter Island
K03,Fort Wainwright
LUR,Cape Lisburne
PIZ,Point Lay
ITO,Hilo
ORL,Orlando
BTT,Bettles
Z84,Clear Mews
UTO,Indian Mountains
FYU,Fort Yukon
SVW,Sparrevohn
FRN,Fort Richardson
TLJ,Tatalina
CZF,Cape Romanzof
BED,Bedford
SNP,St. Paul Island
EHM,Cape Newenham
PBV,Point Barrow
ILI,Iliamna
PTU,Port Moller
BMX,Big Mountain
OSC,Oscoda
OAR,Fort Ord
MHR,Sacramento
BYS,Fort Irwin
NXP,Twenty Nine Palms
FSM,Fort Smith
MRI,Anchorage
GNT,Grants
PNC,Ponca City
SVN,Hunter Aaf
GFK,Grand Forks
PBF,Pine Bluff
NSE,Milton
HNM,Hana
PRC,Prescott
TTN,Trenton
BOS,Boston
SUU,Fairfield
RME,Rome
ENV,Wendover
BFM,Mobile
OAK,Oakland
OMA,Omaha
NOW,Port Angeles
OGG,Kahului
ICT,Wichita
MCI,Kansas City
MSN,Madison
DLG,Dillingham
HRO,Harrison
PHX,Phoenix
BGR,Bangor
FXE,Fort Lauderdale
GGG,Longview
AND,Andersen
GEG,Spokane
HWO,Hollywood
SFO,San Francisco
CTB,Cutbank
ARA,Louisiana
GNV,Gainesville
MEM,Memphis
DUG,Douglas
BIG,Delta Junction
CNW,Waco
ANN,Annette Island
CAR,Caribou
LRF,Jacksonville
HUA,Redstone
POB,Fort Bragg
DHT,Dalhart
DLF,Del Rio
LAX,Los Angeles
ANB,Anniston
CLE,Cleveland
DOV,Dover
CVG,Cincinnati
FME,Fort Meade
NID,China
HON,Huron
JNU,Juneau
LFT,Lafayette
EWR,Newark
BOI,Boise
INS,Indian Springs
GCK,Garden City
MOT,Minot
HHI,Wahiawa
MXF,Montgomery
RBM,Robinson
DAL,Dallas
FCS,Fort Carson
HLN,Helena
NKX,Miramar
LUF,Phoenix
HRT,Mary Esther
HHR,Hawthorne
HUL,Houlton
END,Enid
NTD,Point Mugu
EDW,Edwards Afb
LCH,Lake Charles
KOA,Kona
MYR,Myrtle Beach
NLC,Lemoore
ACK,Nantucket
FAF,Fort Eustis
HOP,Hopkinsville
DCA,Washington
NHK,Patuxent River
PSX,Palacios
BYH,Blytheville
ACY,Atlantic City
TIK,Oklahoma City
ECG,Elizabeth City
PUB,Pueblo
PQI,Presque Isle
IKR,Kirtland A.f.b.
GRF,Fort Lewis
ADQ,Kodiak
UPP,Opolu
FLL,Fort Lauderdale
